,instId,side,sz,px,tradeId,ts
0,BTC-USDT,buy,0.00084616,50477,233927804,1630691192895
1,BTC-USDT,buy,0.00008936,50477,233927803,1630691192895
2,BTC-USDT,buy,0.00001,50477,233927802,1630691192895
3,BTC-USDT,buy,0.00004503,50477,233927801,1630691192895
4,BTC-USDT,buy,0.00011758,50477,233927800,1630691192687
5,BTC-USDT,buy,0.00008937,50477,233927799,1630691192687
6,BTC-USDT,buy,0.00001171,50477,233927798,1630691192687
7,BTC-USDT,buy,0.0000186,50477,233927797,1630691192687
8,BTC-USDT,buy,0.003,50477,233927796,1630691192687
9,BTC-USDT,sell,0.00073185,50476.9,233927795,1630691192683
10,BTC-USDT,sell,0.00288175,50476.9,233927794,1630691192566
11,BTC-USDT,sell,0.01820015,50476.9,233927793,1630691192065
12,BTC-USDT,sell,0.00774356,50476.9,233927792,1630691192065
13,BTC-USDT,sell,0.00000946,50476.9,233927791,1630691192065
14,BTC-USDT,buy,0.00047974,50477,233927790,1630691189991
15,BTC-USDT,buy,0.00001,50477,233927789,1630691189991
16,BTC-USDT,buy,0.00016324,50477,233927788,1630691189991
17,BTC-USDT,buy,0.00006945,50477,233927787,1630691189991
18,BTC-USDT,buy,0.00022847,50477,233927786,1630691189991
19,BTC-USDT,sell,0.00000054,50476.9,233927785,1630691189836
20,BTC-USDT,sell,0.00001,50476.9,233927784,1630691189836
21,BTC-USDT,sell,0.00004775,50476.9,233927783,1630691189836
22,BTC-USDT,sell,0.00007236,50476.9,233927782,1630691189836
23,BTC-USDT,sell,0.00419677,50476.9,233927781,1630691189836
24,BTC-USDT,buy,0.00547871,50477,233927780,1630691188162
25,BTC-USDT,buy,0.00003358,50477,233927779,1630691187784
26,BTC-USDT,buy,0.02335602,50477,233927778,1630691186860
27,BTC-USDT,sell,0.00293872,50476.9,233927777,1630691186844
28,BTC-USDT,sell,0.00097039,50476.9,233927776,1630691186829
29,BTC-USDT,sell,0.0004852,50476.9,233927775,1630691186829
30,BTC-USDT,sell,0.00171101,50476.9,233927774,1630691186826
31,BTC-USDT,buy,0.0023436,50479.5,233927773,1630691186808
32,BTC-USDT,buy,0.00149311,50479.4,233927772,1630691186808
33,BTC-USDT,buy,0.00170638,50479.4,233927771,1630691186808
34,BTC-USDT,sell,0.00017493,50476.9,233927770,1630691186801
35,BTC-USDT,sell,0.00001,50476.9,233927769,1630691186801
36,BTC-USDT,sell,0.00001,50479.4,233927768,1630691186800
37,BTC-USDT,sell,0.00005171,50479.4,233927767,1630691186800
38,BTC-USDT,sell,0.00007919,50479.4,233927766,1630691186800
39,BTC-USDT,sell,0.00369583,50479.4,233927765,1630691186800
40,BTC-USDT,sell,0.00025793,50479.4,233927764,1630691186798
41,BTC-USDT,sell,0.00179743,50479.4,233927763,1630691186776
42,BTC-USDT,sell,0.00179743,50479.4,233927762,1630691186776
43,BTC-USDT,sell,0.00179743,50479.4,233927761,1630691186776
44,BTC-USDT,sell,0.00065395,50479.4,233927760,1630691186762
45,BTC-USDT,sell,0.00337379,50481.8,233927759,1630691185942
46,BTC-USDT,sell,0.00774387,50481.8,233927758,1630691185926
47,BTC-USDT,sell,0.00001,50484.3,233927757,1630691185907
48,BTC-USDT,sell,0.00009672,50484.3,233927756,1630691185907
49,BTC-USDT,sell,0.00014916,50484.3,233927755,1630691185907
50,BTC-USDT,sell,0.01,50484.3,233927754,1630691185907
51,BTC-USDT,sell,0.01155979,50486.6,233927753,1630691184938
52,BTC-USDT,sell,0.00156959,50489,233927752,1630691184938
53,BTC-USDT,sell,0.01558645,50489.1,233927751,1630691184895
54,BTC-USDT,sell,0.00001,50489.2,233927750,1630691184893
55,BTC-USDT,sell,0.004,50489.2,233927749,1630691184893
56,BTC-USDT,sell,0.00021031,50489.2,233927748,1630691184893
57,BTC-USDT,sell,0.00013755,50489.2,233927747,1630691184893
